iter	RMSE	R2
0	17.12671635	-5.032129494
1	16.80313843	-4.806350606
2	16.49971084	-4.598544211
3	16.18761148	-4.388749438
4	15.87819717	-4.184714264
5	15.57871116	-3.990976174
6	15.29338	-3.809826442
7	15.00219694	-3.628413701
8	14.72430639	-3.45853456
9	14.46101048	-3.300507678
10	14.1990859	-3.146132899
11	13.94628319	-2.999810398
12	13.69496639	-2.856953361
13	13.45027008	-2.72035563
14	13.21261373	-2.590045254
15	12.98610862	-2.468011336
16	12.76356682	-2.350167787
17	12.55243173	-2.240247482
18	12.33812339	-2.13055014
19	12.12927781	-2.025466389
20	11.92924007	-1.92649646
21	11.7293457	-1.829241495
22	11.53543024	-1.736465897
23	11.35668029	-1.652315883
24	11.17184485	-1.566683021
25	10.99573969	-1.486401994
26	10.82381723	-1.409258201
27	10.65330271	-1.333946955
28	10.48148442	-1.259269463
29	10.32180443	-1.190956213
30	10.16422089	-1.124567998
31	10.01579302	-1.062971024
32	9.870834655	-1.003688475
33	9.728428599	-0.9462912827
34	9.586846531	-0.8900530589
35	9.450297664	-0.8365951031
36	9.31489532	-0.7843432543
37	9.180496904	-0.733224514
38	9.05962367	-0.6878846418
39	8.943290146	-0.6448151118
40	8.821128371	-0.600186973
41	8.708364284	-0.5595367809
42	8.5966391	-0.5197768874
43	8.48583572	-0.4808521005
44	8.368560663	-0.4402039018
45	8.268119396	-0.4058400933
46	8.164113243	-0.3706939192
47	8.060316149	-0.3360619592
48	7.961286738	-0.3034337977
49	7.862009669	-0.2711289009
50	7.765384537	-0.2400762191
51	7.68103107	-0.2132812599
52	7.590279086	-0.184780603
53	7.502701788	-0.1575981272
54	7.423170259	-0.1331862322
55	7.331230568	-0.1052899028
56	7.25082067	-0.08117693996
57	7.180024978	-0.0601671814
58	7.100657126	-0.03685859046
59	7.028452128	-0.0158786385
60	6.956921237	0.004694007381
61	6.884392003	0.02533890966
62	6.811517375	0.04586421719
63	6.75080738	0.06279654943
64	6.681939433	0.08182066205
65	6.620586324	0.09860457179
66	6.55514989	0.1163349076
67	6.484994611	0.1351482173
68	6.419843456	0.152438302
69	6.357925215	0.1687086214
70	6.289494361	0.1865068318
71	6.234341043	0.2007115111
72	6.174547732	0.2159698741
73	6.125884351	0.2282795069
74	6.073906052	0.2413200859
75	6.011801281	0.2567555426
76	5.952191409	0.2714217148
77	5.902204964	0.2836075173
78	5.854585583	0.2951206889
79	5.807003245	0.3065317477
80	5.763270277	0.316937537
81	5.716996535	0.327862225
82	5.674304076	0.3378633056
83	5.626540733	0.348963436
84	5.581557892	0.359331586
85	5.52434805	0.3723977223
86	5.476113485	0.3833094046
87	5.431714926	0.3932687231
88	5.389872639	0.4025804201
89	5.35175865	0.4109997416
90	5.316003948	0.4188435858
91	5.272101749	0.4284029053
92	5.234912284	0.436438568
93	5.201057729	0.4437041828
94	5.168336456	0.4506817821
95	5.131812048	0.4584183638
96	5.095377557	0.4660812338
97	5.06246329	0.4729567934
98	5.027332497	0.4802462098
99	4.995683588	0.4867696943
100	4.959089368	0.4942611514
101	4.918569325	0.5024920331
102	4.884647942	0.5093305925
103	4.846610582	0.5169426458
104	4.810610178	0.5240922495
105	4.784428423	0.5292584106
106	4.749990314	0.5360107763
107	4.721130303	0.5416318633
108	4.693817927	0.5469199657
109	4.665440557	0.5523817688
110	4.64136736	0.55698918
111	4.615083031	0.5619925638
112	4.590798801	0.5665899626
113	4.564298644	0.5715791964
114	4.528802172	0.5782169273
115	4.502309559	0.5831371919
116	4.482759629	0.5867495357
117	4.45651668	0.5915738707
118	4.426926389	0.5969795839
119	4.409554777	0.6001363465
120	4.384323672	0.6046992279
121	4.362558709	0.6086142449
122	4.343176082	0.6120843331
123	4.314208262	0.6172416637
124	4.283709589	0.6226342447
125	4.260806157	0.6266587311
126	4.239199234	0.630435623
127	4.211104532	0.635317864
128	4.191835369	0.6386476516
129	4.172515578	0.6419708565
130	4.153637526	0.6452032484
131	4.132414573	0.6488196439
132	4.105909287	0.6533101347
133	4.091032699	0.6558178466
134	4.072038527	0.6590064198
135	4.049957721	0.6626944983
136	4.035246681	0.6651405005
137	4.016795577	0.6681957793
138	4.002168634	0.6706078735
139	3.988045348	0.6729285608
140	3.962344235	0.677130626
141	3.939593558	0.6808276339
142	3.922650966	0.6835669923
143	3.906375169	0.6861874216
144	3.893688974	0.6882223634
145	3.876647276	0.6909455358
146	3.857929308	0.6939228021
147	3.835443489	0.6974803269
148	3.821011531	0.6997526779
149	3.807699642	0.7018410762
150	3.791028933	0.7044461345
151	3.766195617	0.7083055318
152	3.754092247	0.710177348
153	3.738165121	0.7126313366
154	3.719384853	0.7155115217
155	3.70398417	0.7178625806
156	3.688033534	0.7202873108
157	3.670610359	0.7229239308
158	3.664226324	0.7238868906
159	3.657177866	0.7249481241
160	3.650643851	0.7259300767
161	3.631992571	0.7287233904
162	3.61696665	0.730963345
163	3.601797354	0.7332152533
164	3.585272054	0.7356576919
165	3.572932343	0.7374741756
166	3.555092155	0.7400892922
167	3.541007476	0.7421446579
168	3.53172474	0.7434948192
169	3.51709407	0.7456156353
170	3.505069546	0.7473520813
171	3.490749469	0.749412267
172	3.47992748	0.750963598
173	3.465880511	0.7529700457
174	3.451950966	0.7549517068
175	3.433972423	0.7574975937
176	3.418446171	0.7596855215
177	3.400726948	0.7621703638
178	3.386697669	0.7641285897
179	3.376242845	0.7655826243
180	3.368355943	0.7666765429
181	3.358088228	0.7680968486
182	3.344648864	0.7699493278
183	3.328531549	0.7721611387
184	3.31438912	0.7740931316
185	3.302826231	0.7756666219
186	3.292938064	0.7770078522
187	3.281065254	0.7786129662
188	3.271488858	0.7799033983
189	3.26391283	0.7809216058
190	3.257313524	0.7818066196
191	3.247918176	0.783063512
192	3.233836956	0.7849404734
193	3.217701103	0.787081281
194	3.203745888	0.7889241389
195	3.191555347	0.7905274082
196	3.180906318	0.7919229398
197	3.169711264	0.7933849977
198	3.162135716	0.7943714292
199	3.152274494	0.7956519481
