iter	R2	RMSE
0	0.0160091432	2.666373335
1	0.03087137023	2.646160229
2	0.04497729818	2.626831851
3	0.06179895576	2.603594719
4	0.07822544081	2.580701562
5	0.09545173206	2.556473523
6	0.1075071236	2.539380645
7	0.1214242077	2.519503943
8	0.1350123887	2.499944514
9	0.1477245769	2.481506451
10	0.1561002118	2.469282991
11	0.1670945031	2.453145401
12	0.1771758008	2.438254048
13	0.1853153897	2.426164156
14	0.1939950535	2.41320535
15	0.2007389782	2.403088377
16	0.211004623	2.387605965
17	0.2185980594	2.376088808
18	0.2289806782	2.360250274
19	0.2375400525	2.3471127
20	0.2494119801	2.328768083
21	0.2562217514	2.318180043
22	0.2632296206	2.307233266
23	0.271542571	2.294180132
24	0.2802834623	2.280374453
25	0.2874039404	2.269066031
26	0.2981148578	2.25194848
27	0.3046395315	2.241457066
28	0.3113879585	2.230553952
29	0.3211745508	2.214646854
30	0.327181298	2.204826669
31	0.3338483108	2.193875573
32	0.3370264835	2.188635887
33	0.3430016443	2.178750839
34	0.3493014055	2.168279982
35	0.3547683859	2.15915214
36	0.3639186236	2.143787657
37	0.3707197838	2.132295867
38	0.3743933654	2.12606285
39	0.3796673	2.117082409
40	0.3837018661	2.110186559
41	0.3901082916	2.099190202
42	0.394094733	2.092318475
43	0.3984560581	2.084774588
44	0.404707447	2.073913558
45	0.4103100652	2.064131129
46	0.4158099997	2.054482685
47	0.4200085082	2.047086703
48	0.4239514096	2.040116579
49	0.428390568	2.03224058
50	0.4336433082	2.022881507
51	0.4397227132	2.011995173
52	0.4420826897	2.00775328
53	0.4466531778	1.999512558
54	0.4517182053	1.99034031
55	0.4568745979	1.980958985
56	0.4611816892	1.973088653
57	0.4668081498	1.962759903
58	0.4693640221	1.958049976
59	0.4743665188	1.948798498
60	0.47687311	1.944146323
61	0.4817972365	1.934974688
62	0.4852935611	1.928435984
63	0.4903037274	1.919027308
64	0.4934081349	1.913174271
65	0.4957197612	1.908804283
66	0.5020758571	1.896736572
67	0.5095893877	1.882371574
68	0.5109297745	1.879797371
69	0.5129899847	1.875833866
70	0.5170520484	1.867994487
71	0.5230510922	1.856356381
72	0.5258873176	1.850828645
73	0.5283655216	1.845985133
74	0.5315935995	1.839656911
75	0.5341057743	1.83471702
76	0.5378052052	1.827418222
77	0.5410795347	1.820933722
78	0.5452377605	1.812665313
79	0.549067869	1.805015838
80	0.5501409254	1.802866914
81	0.5547509953	1.793605408
82	0.5577385214	1.787577924
83	0.5602712395	1.782452075
84	0.5633995244	1.776100466
85	0.567294259	1.768160786
86	0.571837086	1.758854644
87	0.5735093028	1.755416626
88	0.5774120754	1.747366348
89	0.579014382	1.744050499
90	0.5814718415	1.738952692
91	0.5837332051	1.734248432
92	0.5853091158	1.730962544
93	0.5898724203	1.721412346
94	0.5921655022	1.71659327
95	0.5944336161	1.711813319
96	0.5982920042	1.703651124
97	0.600295671	1.699397018
98	0.6044268642	1.690592045
99	0.6056258092	1.688028088
100	0.6065547302	1.686038899
101	0.6082565763	1.68238847
102	0.6126044428	1.673026207
103	0.6153799377	1.667022236
104	0.6182536663	1.660782896
105	0.622142985	1.652301019
106	0.624660531	1.646787431
107	0.6263152672	1.643153376
108	0.6297961421	1.63548248
109	0.6320365327	1.630526184
110	0.6347532734	1.624495797
111	0.6371163021	1.619232288
112	0.6400183464	1.61274465
113	0.6430734545	1.605886512
114	0.6457996449	1.599741908
115	0.6466970461	1.597714072
116	0.6482085737	1.594292678
117	0.6518849663	1.585940229
118	0.6526447935	1.584208476
119	0.6557608663	1.577086616
120	0.6575744473	1.572926787
121	0.657976144	1.572003923
122	0.6615203801	1.563837735
123	0.6647851157	1.556277623
124	0.6680238616	1.548741231
125	0.6707554349	1.542356377
126	0.6733384423	1.536294375
127	0.675867993	1.530334556
128	0.6773559347	1.526817983
129	0.6798700865	1.520857608
130	0.6812880456	1.517485684
131	0.6820266301	1.51572635
132	0.6830035703	1.513396103
133	0.6838056565	1.511480241
134	0.6859597706	1.506322867
135	0.6868020385	1.504301503
136	0.6875451188	1.502515922
137	0.6898141444	1.497050398
138	0.6911309497	1.493869369
139	0.6940602309	1.486768644
140	0.6969168854	1.479811155
141	0.6985502659	1.475818257
142	0.7026274675	1.465803829
143	0.7068963247	1.455244807
144	0.708059426	1.452354567
145	0.7086523309	1.450879017
146	0.7105668575	1.446104095
147	0.7120067891	1.442502422
148	0.7124544069	1.44138097
149	0.7151637041	1.434574447
150	0.7173796718	1.428983204
151	0.7198617209	1.422694505
152	0.7202320022	1.421753949
153	0.7206070554	1.420800638
154	0.7216628369	1.418113607
155	0.7226664835	1.415554534
156	0.7230670343	1.414531927
157	0.7235019229	1.413420818
158	0.7240027935	1.412140046
159	0.7243887056	1.411152441
160	0.7247189888	1.410306649
161	0.7255670552	1.408132587
162	0.726400299	1.405993249
163	0.7294169983	1.398220551
164	0.7334386365	1.387790872
165	0.7365686371	1.379618995
166	0.7394009948	1.372182268
167	0.7398342028	1.371041266
168	0.7429008191	1.362936972
169	0.7441678299	1.359574478
170	0.7444754699	1.358756783
171	0.7465004022	1.353362265
172	0.7507923204	1.341856693
173	0.753920014	1.333409585
174	0.7564630938	1.326501723
175	0.7568495996	1.325448691
176	0.7598016236	1.317378161
177	0.7601644557	1.316382801
178	0.7635128419	1.307161377
