iter	RMSE	R2
0	6.559999394	0.03715813191
1	6.443967049	0.07091811946
2	6.327106776	0.1043100617
3	6.204160148	0.1387814656
4	6.097861374	0.1680399689
5	6.011106529	0.1915443183
6	5.925319655	0.2144552381
7	5.86434922	0.2305382828
8	5.776677462	0.2533731436
9	5.706984328	0.2712799344
10	5.643820944	0.2873212294
11	5.582713411	0.3026705033
12	5.538681658	0.3136270226
13	5.466398594	0.3314252658
14	5.404715774	0.3464285265
15	5.345248506	0.3607316989
16	5.283818989	0.3753406701
17	5.258847404	0.3812310587
18	5.218771183	0.3906260572
19	5.152996634	0.4058896943
20	5.129192982	0.41136586
21	5.100202245	0.4180010992
22	5.061637408	0.4267693143
23	5.023839647	0.4352985457
24	4.98985026	0.4429138075
25	4.954757851	0.4507219588
26	4.914739453	0.4595589028
27	4.847590474	0.474225868
28	4.823279926	0.4794861338
29	4.806685744	0.4830615611
30	4.758227405	0.4934319949
31	4.737825586	0.4977666983
32	4.717977141	0.5019659534
33	4.67370923	0.5112680314
34	4.621565588	0.5221125671
35	4.576229992	0.5314423267
36	4.546278392	0.5375557105
37	4.518206006	0.5432490856
38	4.491859237	0.5485604081
39	4.461933449	0.5545555573
40	4.425491877	0.5618019261
41	4.414037021	0.564067437
42	4.389660999	0.5688689193
43	4.360030693	0.5746695637
44	4.332557958	0.5800127265
45	4.31296644	0.5838024436
46	4.283365397	0.5894957894
47	4.255828454	0.5947569307
48	4.219055714	0.6017297294
49	4.188331748	0.6075091686
50	4.154443159	0.6138349094
51	4.119070453	0.6203828636
52	4.0805183	0.6274556098
53	4.061857151	0.6308552807
54	4.044523273	0.6339991906
55	4.016026221	0.6391385849
56	4.003156599	0.6414476878
57	3.98436575	0.6448058824
58	3.964550302	0.6483300713
59	3.952066732	0.6505412599
60	3.936161092	0.6533484898
61	3.905480935	0.6587313357
62	3.880036306	0.6631636542
63	3.869596766	0.6649737847
64	3.855005209	0.6674956688
65	3.839523324	0.6701610125
66	3.824931353	0.6726633311
67	3.809261593	0.6753398655
68	3.777915607	0.6806610649
69	3.754278933	0.6846444772
70	3.747088938	0.6858512247
71	3.73381939	0.6880722721
72	3.716607743	0.6909414071
73	3.694129093	0.6946685753
74	3.681296926	0.6967861291
75	3.668100872	0.6989560465
76	3.647844608	0.7022717614
77	3.625784747	0.7058618181
78	3.610540123	0.7083300283
79	3.588829254	0.7118272167
80	3.581172932	0.7130554669
81	3.565209584	0.7156079191
82	3.55229156	0.717665093
83	3.523570234	0.7222121583
84	3.513724167	0.7237624587
85	3.500488993	0.725839552
86	3.484946569	0.7282687316
87	3.465015596	0.7313679936
88	3.457441598	0.7325410876
89	3.450038603	0.7336852154
90	3.42430636	0.737643038
91	3.401180097	0.7411747593
92	3.393334421	0.742367473
93	3.375927181	0.7450039172
94	3.350979451	0.7487587777
95	3.341606678	0.750162268
96	3.327035261	0.7523364032
97	3.312689758	0.7544675495
98	3.303550208	0.7558205048
99	3.293319081	0.7573306152
100	3.268298355	0.7610039302
101	3.261743287	0.7619616546
102	3.245191649	0.7643713648
103	3.228795024	0.7667464196
104	3.218990284	0.7681608905
105	3.198242767	0.7711398274
106	3.188658524	0.7725094326
107	3.171675803	0.7749261986
108	3.161855516	0.7763178083
109	3.155789829	0.7771752066
110	3.143287773	0.7789372059
111	3.127869393	0.7811005909
112	3.106581182	0.7840701004
113	3.095495121	0.7856084738
114	3.074542396	0.7885009892
115	3.066741674	0.7895728574
116	3.046504512	0.792340875
117	3.03155329	0.7943741161
118	3.026188528	0.7951012403
119	3.01991868	0.795949405
120	3.002240498	0.7983313801
121	2.995951148	0.7991754404
122	2.991659132	0.7997504329
123	2.98138923	0.8011229245
124	2.973426222	0.8021838695
125	2.959072657	0.8040890881
126	2.949420575	0.8053650717
127	2.93556935	0.8071888887
128	2.929478775	0.8079881288
129	2.916956697	0.8096261327
130	2.899272354	0.8119274569
131	2.89626241	0.8123177576
132	2.891981816	0.8128721257
133	2.882370013	0.8141139367
134	2.867703179	0.8160008724
135	2.856589229	0.8174243074
136	2.847100075	0.8186352699
137	2.834141226	0.8202825105
138	2.823400339	0.8216421234
139	2.817041193	0.8224446497
140	2.803604161	0.8241344559
141	2.787509197	0.8261478818
142	2.777984772	0.827333896
143	2.766243658	0.8287903534
144	2.7537051	0.8303389204
145	2.743448768	0.8316003916
146	2.727958671	0.8334966633
147	2.716368991	0.8349084304
148	2.699424634	0.8369616461
149	2.691132976	0.8379616977
150	2.678080186	0.8395297531
151	2.665431187	0.8410420263
152	2.649561185	0.8429292657
153	2.636151128	0.8445151865
154	2.632699022	0.8449221424
155	2.619248214	0.8465027211
156	2.610087418	0.847574554
157	2.599067606	0.84885892
158	2.583517466	0.8506620546
159	2.578210335	0.8512749723
160	2.569632449	0.8522629632
161	2.56472446	0.8528267787
162	2.555490827	0.8538845899
163	2.549980951	0.8545139876
164	2.541665995	0.8554612397
165	2.528005094	0.857010793
166	2.516669369	0.8582902621
167	2.512567559	0.8587518187
168	2.504724922	0.8596322165
169	2.493233088	0.8609172939
170	2.484246701	0.8619180817
171	2.481654884	0.8622060534
172	2.470765865	0.8634126265
173	2.46565723	0.8639768675
174	2.456039523	0.8650359597
175	2.45096336	0.8655932728
176	2.44630591	0.8661036009
177	2.44453666	0.8662972077
178	2.44285465	0.8664811378
179	2.437755829	0.8670379276
180	2.42616774	0.8682990172
181	2.413911152	0.8696263181
182	2.402588917	0.8708464622
183	2.38625437	0.8725966517
184	2.378295616	0.8734450785
185	2.371409914	0.8741768276
186	2.362403088	0.8751307879
187	2.35531372	0.8758791068
188	2.35116797	0.8763156698
189	2.337094421	0.87779193
190	2.320426734	0.8795288408
191	2.308301073	0.8807846233
192	2.301423351	0.8814939837
193	2.296922898	0.8819570097
194	2.295087632	0.8821455695
195	2.290105117	0.8826567257
196	2.282235545	0.8834618019
197	2.270660028	0.8846409693
198	2.2607851	0.8856421629
199	2.252839378	0.8864445911
200	2.239903399	0.887744935
201	2.230200093	0.8887154107
202	2.219203008	0.8898101903
203	2.215244149	0.8902029771
204	2.206346276	0.8910832393
205	2.196263884	0.8920764038
206	2.187176731	0.8929676349
207	2.183452386	0.893331836
208	2.177948847	0.8938688869
209	2.168843207	0.8947544647
210	2.15962595	0.8956471192
211	2.152746506	0.8963108881
212	2.148384999	0.896730615
213	2.135326211	0.897982229
214	2.128687467	0.8986155908
215	2.119495453	0.8994892886
216	2.111354061	0.9002599677
217	2.104817129	0.900876619
218	2.097350026	0.9015786768
219	2.088095872	0.902445291
220	2.08219633	0.9029957591
221	2.077742515	0.9034102991
222	2.068617237	0.9042568644
223	2.061954018	0.9048726671
224	2.057317696	0.9052999754
225	2.050471636	0.9059291863
226	2.041529526	0.9067478831
227	2.033603629	0.9074705492
228	2.026179576	0.9081449083
229	2.020063772	0.9086985807
230	2.008797097	0.9097141871
231	2.002038163	0.9103207285
232	1.99503996	0.9109465875
233	1.988240882	0.9115525396
234	1.985152302	0.911827119
235	1.974461589	0.912774243
236	1.96700477	0.9134318385
237	1.959411554	0.9140989055
238	1.953085593	0.9146526735
239	1.946667024	0.9152127182
240	1.944245067	0.9154235641
241	1.937432949	0.9160151926
242	1.935615065	0.9161727237
243	1.929360814	0.9167135645
244	1.922408144	0.9173127471
245	1.916881358	0.9177875035
246	1.91088766	0.9183008233
247	1.903976184	0.9188907488
248	1.899402538	0.9192799549
249	1.890996161	0.9199928753
250	1.885464174	0.920460302
251	1.880854382	0.9208487615
252	1.871298891	0.9216509584
253	1.865440548	0.922140754
254	1.859552004	0.9226315271
255	1.858602197	0.9227105422
256	1.851926298	0.9232647758
257	1.842906409	0.9240104401
258	1.838763679	0.924351695
