iter	Passed	Remaining
0	0	229
1	0	217
2	1	226
3	1	228
4	2	278
5	2	264
6	3	269
7	4	317
8	4	304
9	4	292
10	5	286
11	5	280
12	6	304
13	7	297
14	7	293
15	7	286
16	8	283
17	8	277
18	8	275
19	9	274
20	9	270
21	10	269
22	10	271
23	11	269
24	11	275
25	12	287
26	13	285
27	13	289
28	14	285
29	14	285
30	15	281
31	15	278
32	15	275
33	16	273
34	16	271
35	16	269
36	17	275
37	18	272
38	18	269
39	18	268
40	19	268
41	19	265
42	20	263
43	20	262
44	20	261
45	21	259
46	21	257
47	21	255
48	22	253
49	22	252
50	22	250
51	23	249
52	23	248
53	24	246
54	24	245
55	24	244
56	25	243
57	25	241
58	25	240
59	26	239
60	26	237
61	26	236
62	27	235
63	27	234
64	27	233
65	28	232
66	28	231
67	29	230
68	29	229
69	29	228
70	30	227
71	30	226
72	30	225
73	31	224
74	31	223
75	31	222
76	32	221
77	32	220
78	32	219
79	33	219
80	33	219
81	33	217
82	34	216
83	34	215
84	35	215
85	35	214
86	35	214
87	36	213
88	36	212
89	36	211
90	37	211
91	37	211
92	38	214
93	39	213
94	39	213
95	39	212
96	40	212
97	40	212
98	41	212
99	41	211
100	42	211
101	42	210
102	42	209
103	43	208
104	43	208
105	43	207
106	44	207
107	44	207
108	45	208
109	45	207
110	46	207
111	46	207
112	47	206
113	47	207
114	48	206
115	48	206
116	49	205
117	49	205
118	49	205
119	50	204
120	50	204
121	51	203
122	51	202
123	51	202
124	52	201
125	52	201
126	52	200
127	53	199
128	53	199
129	53	198
130	54	197
131	54	197
132	55	196
133	55	195
134	55	195
135	56	194
136	56	193
137	56	193
138	57	192
139	57	192
140	57	191
141	58	191
142	58	190
143	58	189
144	59	189
145	59	188
146	59	188
147	60	187
148	60	186
149	61	186
150	61	186
151	61	185
152	62	184
153	62	184
154	62	183
155	63	183
156	63	182
157	64	182
158	65	183
159	65	183
160	65	182
161	66	182
162	66	181
163	66	181
164	67	180
165	67	179
166	67	179
167	68	178
168	69	179
169	69	179
170	69	178
171	70	178
172	70	177
173	71	177
174	71	176
175	71	176
176	72	176
177	72	175
178	73	175
179	73	174
180	73	173
181	74	173
182	74	172
183	74	172
184	75	171
185	75	171
186	75	170
187	76	170
188	76	169
189	76	169
190	77	168
191	77	168
192	77	167
193	78	167
194	78	166
195	78	165
196	79	165
197	79	165
198	80	164
199	80	164
200	80	163
201	81	163
202	81	162
203	81	162
204	82	162
205	83	162
206	83	161
207	83	161
208	84	161
209	85	161
210	85	160
211	85	160
212	86	159
213	86	159
214	86	158
215	87	158
216	87	157
217	88	157
218	88	157
219	88	156
220	89	156
221	89	155
222	89	155
223	90	154
224	90	154
225	90	153
226	91	153
227	91	152
228	91	152
229	92	151
230	92	151
231	93	150
232	93	150
233	93	149
234	94	149
235	94	148
236	94	148
237	95	147
238	95	147
239	95	146
240	96	146
241	96	145
242	96	145
243	97	144
244	97	144
245	97	144
246	98	143
247	98	143
248	98	142
249	99	142
250	99	141
251	100	141
252	100	140
253	101	141
254	101	140
255	102	140
256	102	140
257	102	139
258	103	139
259	103	138
260	104	138
261	104	137
262	104	137
263	105	136
264	105	136
265	105	136
266	106	135
267	106	135
268	106	134
269	107	134
270	107	133
271	107	133
272	108	132
273	108	132
274	108	131
275	109	131
276	109	131
277	109	130
278	110	130
279	110	129
280	111	129
281	111	128
282	111	128
283	112	127
284	112	127
285	112	126
286	113	126
287	113	126
288	113	125
289	114	125
290	114	124
291	114	124
292	115	123
293	115	123
294	115	123
295	116	122
296	116	122
297	116	121
298	117	121
299	117	120
300	118	120
301	118	120
302	118	119
303	119	119
304	119	118
305	120	118
306	120	118
307	120	117
308	121	117
309	121	116
310	121	116
311	122	115
312	122	115
313	122	115
314	123	114
315	123	114
316	123	113
317	124	113
318	125	113
319	125	112
320	126	112
321	126	112
322	126	111
323	127	111
324	127	111
325	128	111
326	128	110
327	129	110
328	129	109
329	129	109
330	130	109
331	130	108
332	130	108
333	131	107
334	131	107
335	132	107
336	133	107
337	133	106
338	133	106
339	134	105
340	134	105
341	135	105
342	135	104
343	136	104
344	136	104
345	136	103
346	137	103
347	137	102
348	138	102
349	139	102
350	139	102
351	140	102
352	140	101
353	141	101
354	141	101
355	142	100
356	142	100
357	142	99
358	143	99
359	143	98
360	143	98
361	144	97
362	144	97
363	144	97
364	145	96
365	145	96
366	145	95
367	146	95
368	146	94
369	147	94
370	147	94
371	147	93
372	148	93
373	148	92
374	148	92
375	149	92
376	149	91
377	150	91
378	150	91
379	151	90
380	151	90
381	152	89
382	152	89
383	152	89
384	153	88
385	153	88
386	154	87
387	154	87
388	154	87
389	155	86
390	155	86
391	155	85
392	156	85
393	156	85
394	156	84
395	157	84
396	157	83
397	158	83
398	158	82
399	158	82
400	159	82
401	159	81
402	159	81
403	160	80
404	160	80
405	160	80
406	161	79
407	161	79
408	162	78
409	162	78
410	162	77
411	163	77
412	163	77
413	163	76
414	164	76
415	164	75
416	164	75
417	165	75
418	165	74
419	166	74
420	166	73
421	166	73
422	167	73
423	167	72
