iter	RMSE
0	2.401113335
1	2.381498761
2	2.365375509
3	2.342599455
4	2.31917499
5	2.296618213
6	2.275971937
7	2.262504475
8	2.248174183
9	2.232260858
10	2.215139775
11	2.204098764
12	2.197169125
13	2.178971079
14	2.155839131
15	2.138487731
16	2.11497663
17	2.09631749
18	2.08587142
19	2.068766852
20	2.045135865
21	2.031091641
22	2.015470978
23	2.000130242
24	1.985595014
25	1.968690918
26	1.948103023
27	1.919800472
28	1.904120183
29	1.891720424
30	1.874961549
31	1.857676462
32	1.843139748
33	1.829993669
34	1.822867677
35	1.802371951
36	1.788860945
37	1.772804615
38	1.762711858
39	1.755403582
40	1.740107486
41	1.728851309
42	1.718289418
43	1.707635539
44	1.698200179
45	1.689274748
46	1.670020144
47	1.659326839
48	1.653913437
49	1.641756649
50	1.627265931
51	1.60960131
52	1.585677965
53	1.579305018
54	1.572937151
55	1.565631822
56	1.551357942
57	1.545731548
58	1.531346388
59	1.525192392
60	1.510238106
61	1.505620441
62	1.490004899
63	1.483497753
64	1.474712878
65	1.466331759
66	1.459052409
67	1.450320719
68	1.438898755
69	1.427175817
70	1.416857525
71	1.407349876
72	1.395371403
73	1.387287893
74	1.377742807
75	1.362904793
76	1.352182062
77	1.342355962
78	1.337410161
79	1.331657804
80	1.320764822
81	1.30903426
82	1.301230148
83	1.291075642
84	1.279711569
85	1.273204616
86	1.2613721
87	1.252011322
88	1.247170314
89	1.239636792
90	1.232416384
91	1.220913451
92	1.215278979
93	1.204284647
94	1.195695327
95	1.185656896
96	1.1713729
97	1.165761836
98	1.156524581
99	1.147248268
100	1.137544215
101	1.133188257
102	1.123415023
103	1.114543575
104	1.106882905
105	1.09748034
106	1.087673449
107	1.074078437
108	1.065090688
109	1.059296788
110	1.05155489
111	1.045326149
112	1.034760171
113	1.02564998
114	1.019161366
115	1.007468442
116	0.9951596962
117	0.9891132297
118	0.9856484204
119	0.9773993036
120	0.9688170476
121	0.9592169676
