iter	Passed	Remaining
0	10	10466
1	17	8824
2	25	8378
3	32	8151
4	43	8723
5	51	8493
6	58	8286
7	66	8222
8	73	8069
9	80	7931
10	87	7844
11	94	7756
12	100	7664
13	108	7621
14	115	7554
15	122	7516
16	129	7488
17	136	7441
18	143	7416
19	150	7393
20	158	7384
21	165	7358
22	172	7330
23	179	7305
24	192	7490
25	200	7521
26	209	7546
27	217	7555
28	225	7553
29	233	7535
30	239	7500
31	246	7459
32	253	7422
33	260	7397
34	267	7369
35	274	7343
36	281	7316
37	288	7292
38	294	7269
39	301	7240
40	308	7220
41	315	7204
42	323	7202
43	336	7320
44	349	7416
45	361	7494
46	376	7631
47	387	7678
48	394	7652
49	401	7624
50	408	7595
51	414	7564
52	422	7540
53	429	7519
54	436	7500
55	443	7476
56	451	7461
57	461	7493
58	468	7469
59	478	7504
60	488	7522
61	495	7500
62	502	7477
63	509	7456
64	516	7431
65	523	7405
66	529	7377
67	540	7408
68	550	7431
69	559	7428
70	565	7405
71	573	7387
72	580	7366
73	587	7347
74	594	7326
75	600	7303
76	607	7285
77	614	7262
78	620	7237
79	627	7217
80	634	7200
81	641	7183
82	648	7169
83	655	7153
84	663	7143
85	670	7125
86	677	7109
87	684	7093
88	691	7075
89	698	7058
90	704	7041
91	711	7024
92	718	7008
93	725	6994
94	732	6977
95	739	6962
96	746	6946
97	753	6932
98	759	6915
99	766	6900
100	773	6884
101	780	6869
102	787	6855
103	793	6840
104	800	6825
105	807	6812
106	815	6803
107	822	6791
108	829	6776
109	836	6764
110	843	6753
111	850	6739
112	857	6727
113	864	6717
114	871	6703
115	878	6691
116	884	6678
117	891	6666
118	898	6653
119	905	6643
120	912	6630
121	919	6617
122	926	6604
123	933	6591
124	940	6585
125	948	6579
126	955	6567
127	962	6555
128	968	6539
129	974	6524
130	981	6510
131	987	6496
132	994	6480
133	1000	6465
134	1006	6451
135	1013	6437
136	1019	6423
137	1025	6408
138	1032	6394
139	1038	6380
140	1044	6365
141	1051	6352
142	1057	6338
143	1063	6323
144	1070	6311
145	1076	6299
146	1083	6286
147	1089	6273
148	1096	6260
149	1102	6247
150	1108	6235
151	1115	6221
152	1121	6207
153	1127	6195
154	1134	6183
155	1140	6171
156	1147	6160
157	1154	6152
158	1161	6141
159	1168	6133
160	1175	6124
161	1182	6115
162	1189	6109
163	1197	6102
164	1204	6094
165	1210	6082
166	1217	6071
167	1223	6060
168	1230	6049
169	1236	6039
170	1243	6030
171	1250	6019
172	1256	6008
173	1263	5996
174	1269	5985
175	1275	5973
176	1282	5962
177	1288	5951
178	1295	5942
179	1302	5932
180	1310	5929
181	1318	5926
182	1326	5924
183	1334	5916
184	1342	5915
185	1352	5917
186	1358	5906
187	1371	5921
188	1383	5934
189	1396	5955
190	1409	5970
191	1416	5960
192	1422	5949
193	1429	5937
194	1437	5932
195	1445	5928
196	1452	5922
197	1459	5912
198	1468	5909
199	1474	5899
200	1481	5889
201	1488	5878
202	1494	5867
