iter	R2	RMSE
0	0.01501755387	2.473204498
1	0.03367437326	2.449669702
2	0.0502479509	2.428571543
3	0.06433218193	2.410497184
4	0.08042268155	2.389680874
5	0.09871792307	2.36578977
6	0.1116645074	2.348736459
7	0.127124913	2.32820829
8	0.1384365123	2.313073457
9	0.1510591523	2.296066687
10	0.1642499658	2.278158749
11	0.1782841586	2.258949967
12	0.1892280489	2.243856814
13	0.2005648495	2.228113973
14	0.2128521416	2.210924648
15	0.2218045208	2.198316067
16	0.2343532866	2.180519594
17	0.2416188447	2.170148978
18	0.248518495	2.16025456
19	0.2561487113	2.149259436
20	0.2649481308	2.13650924
21	0.2748895005	2.122012213
22	0.2840270985	2.108599382
23	0.2906979614	2.098753272
24	0.2975313993	2.088619078
25	0.3052162869	2.07716309
26	0.3121864526	2.066717634
27	0.3204229488	2.054306
28	0.3276391088	2.043369959
29	0.3350022246	2.032150547
30	0.3424434133	2.020748888
31	0.3508988353	2.007714597
32	0.3560028805	1.999805436
33	0.3612489832	1.991643414
34	0.3675886894	1.981735077
35	0.3722290905	1.97445107
36	0.3776071052	1.965975473
37	0.3826962139	1.957921397
38	0.3901109218	1.946127145
39	0.3938704705	1.940119602
40	0.3979139125	1.933637581
41	0.4024625294	1.926319648
42	0.4095252864	1.914901478
43	0.4139550922	1.907705055
44	0.4200300393	1.897791653
45	0.4246654055	1.890192461
46	0.4305860884	1.880441464
47	0.4335098582	1.875607499
48	0.4372141207	1.86946517
49	0.4422019282	1.86116247
50	0.4467356839	1.853583319
51	0.4518263071	1.845036139
52	0.454730139	1.840142809
53	0.4590889511	1.832773128
54	0.4635825648	1.825144377
55	0.4673741436	1.818682572
56	0.4715963949	1.811459665
57	0.4768118311	1.802497784
58	0.4806453475	1.795881991
59	0.4838350965	1.790358564
60	0.486167195	1.786309451
61	0.491077996	1.777752903
62	0.495616574	1.76980813
63	0.5004203502	1.761360091
64	0.5029986613	1.756809056
65	0.506158799	1.751214894
66	0.5095133922	1.745256882
67	0.5132764776	1.738549057
68	0.5151929648	1.735122889
69	0.5190634173	1.728182841
70	0.5228979299	1.721279644
71	0.5266477369	1.71450206
72	0.528148339	1.71178228
73	0.5325880967	1.703709976
74	0.5365313505	1.696508201
75	0.5393512994	1.691339172
76	0.5424536201	1.685634238
77	0.5460853522	1.678931127
78	0.5483280844	1.674778303
79	0.5521809431	1.667619895
80	0.5550726133	1.662227074
81	0.5593500998	1.654217536
82	0.5617348572	1.649735225
83	0.5645869929	1.644358401
84	0.5673201913	1.639189248
85	0.5710297578	1.632147354
86	0.5751630535	1.624265132
87	0.5784076708	1.618050725
88	0.5828897627	1.609426718
89	0.5859396429	1.603531916
90	0.5903272143	1.595013414
91	0.5931884569	1.589433696
92	0.5957188934	1.584482712
93	0.5986805453	1.578668302
94	0.6020339021	1.572058925
95	0.6045244777	1.567132027
96	0.6077500032	1.560728125
97	0.6092179851	1.557804902
98	0.6107304654	1.55478732
99	0.6154529595	1.545327449
100	0.6174638055	1.541281795
101	0.6192662052	1.537646471
102	0.6224643869	1.531174701
103	0.6251040543	1.52581245
104	0.6283011536	1.519292482
105	0.6295144357	1.516810853
106	0.6340952024	1.507404593
107	0.6358550949	1.503775141
108	0.6384005777	1.498510002
109	0.6408048056	1.493519994
110	0.6446459358	1.485512894
111	0.6476176286	1.479288459
112	0.6487722114	1.476863023
113	0.6516200872	1.470863379
114	0.6547332342	1.464276763
115	0.6558246568	1.461960569
116	0.6579619335	1.457414223
117	0.6595827644	1.453956966
118	0.6609863108	1.450956525
119	0.6637340144	1.445064566
120	0.6655169535	1.441228486
121	0.6687871574	1.434165814
122	0.6715112448	1.42825593
123	0.67330293	1.424355517
124	0.6762939192	1.417820368
125	0.6800544713	1.409560772
126	0.6806443017	1.408260886
127	0.6827258219	1.40366395
128	0.6856793659	1.397115234
129	0.6892838485	1.389081402
130	0.6901831438	1.38706976
131	0.6909386285	1.385377551
132	0.691353177	1.384448126
133	0.6933559709	1.379949008
134	0.6956279275	1.374827413
135	0.6979440495	1.369586543
136	0.7003331486	1.364159446
137	0.7031257988	1.357788142
138	0.70623224	1.350665628
139	0.7085044208	1.345432049
140	0.7089011635	1.344516131
141	0.7111554558	1.339299993
142	0.7119553503	1.337444252
143	0.7124049654	1.336400022
144	0.7133492832	1.334204184
145	0.716984186	1.325717942
146	0.719318522	1.32023931
147	0.7206329871	1.317144262
148	0.7215449745	1.314992611
149	0.7240819773	1.308988457
150	0.7259905782	1.304453284
151	0.7296742949	1.295655236
152	0.7302435187	1.294290389
153	0.7312137235	1.291960773
154	0.7315610027	1.291125879
155	0.7319128034	1.290279564
156	0.7350046275	1.282817652
157	0.7357393197	1.28103813
158	0.7392711271	1.272448886
159	0.74157104	1.266824262
160	0.7426824383	1.264097277
161	0.7466017883	1.254433245
162	0.7492158243	1.247946154
163	0.7508745266	1.24381231
164	0.7529350765	1.238657761
165	0.7533596343	1.237593045
166	0.7553474844	1.232595634
167	0.7569174791	1.228634336
168	0.7592449299	1.222738264
169	0.759646056	1.221719227
170	0.7610216992	1.218218012
171	0.7637791406	1.211169442
172	0.7667775359	1.203458094
173	0.7686791974	1.198541641
174	0.7712771989	1.191792129
