iter	R2	RMSE
0	0.01686220032	2.55936262
1	0.03106929966	2.540802944
2	0.04733607063	2.519384694
3	0.05915932771	2.503702179
4	0.07554336654	2.481806383
5	0.09061518307	2.461492263
6	0.103720144	2.443691867
7	0.1149283462	2.428364311
8	0.1250901883	2.414383581
9	0.1375942911	2.397068457
10	0.148763331	2.381495622
11	0.1597285676	2.366107243
12	0.1694345322	2.352402113
13	0.1791870575	2.338550342
14	0.1875611769	2.32659055
15	0.1959613922	2.3145314
16	0.2052774588	2.301083569
17	0.2125481566	2.290533393
18	0.2185034146	2.281855653
19	0.2252826757	2.27193687
20	0.2325894584	2.261197548
21	0.239420781	2.251110705
22	0.2449171879	2.24296201
23	0.2504445372	2.234737478
24	0.2571752929	2.224681257
25	0.2638615068	2.214646373
26	0.2697850391	2.205718008
27	0.2779499439	2.193351715
28	0.2845724719	2.183270009
29	0.2968267331	2.164491085
30	0.3005795645	2.15870742
31	0.3085997367	2.146294911
32	0.3134558509	2.138744279
33	0.3174477881	2.132517309
34	0.3261874427	2.118820547
35	0.3323871254	2.109050492
36	0.3364706599	2.102590468
37	0.3405701074	2.096085244
38	0.3473666296	2.085255444
39	0.3525040011	2.077031917
40	0.3567247012	2.070251287
41	0.3615135944	2.062530849
42	0.3664936006	2.054471536
43	0.3699915789	2.048791685
44	0.3751816673	2.040335131
45	0.3806335065	2.031414178
46	0.3861644204	2.022323621
47	0.3898522708	2.01623953
48	0.3950343379	2.007659176
49	0.4001684366	1.999121929
50	0.4052439618	1.990646092
51	0.4098366214	1.98294539
52	0.4133986285	1.976952172
53	0.4162049762	1.972217554
54	0.4209573864	1.964173687
55	0.4255347623	1.956394812
56	0.4304374073	1.948028717
57	0.4352149209	1.939841441
58	0.4391777183	1.933024042
59	0.4429926253	1.926438274
60	0.4447233841	1.923442987
61	0.4473942709	1.91881152
62	0.4495703811	1.915029742
63	0.4537447551	1.907754276
64	0.4603972112	1.896102096
65	0.4625003643	1.89240337
66	0.466931795	1.884586238
67	0.4682029057	1.882337982
68	0.4694674443	1.880098683
69	0.4719818271	1.875638163
70	0.4760184989	1.868454829
71	0.4804239157	1.860583657
72	0.4836425908	1.854811723
73	0.4875336343	1.847809983
74	0.4898696959	1.843593581
75	0.4922808309	1.83923154
76	0.4964161742	1.831726009
77	0.4992176545	1.826623878
78	0.5014899606	1.822475002
79	0.5057969391	1.814585103
80	0.5091857048	1.808353068
81	0.5118739133	1.803394059
82	0.516191386	1.795400839
83	0.5194184298	1.789403085
84	0.5224064864	1.783831528
85	0.5264728426	1.77622129
86	0.5280750135	1.773213837
87	0.5323387706	1.765185328
88	0.5366718051	1.756988788
89	0.540066839	1.750539792
90	0.5430273169	1.744896797
91	0.5443845662	1.742303621
92	0.5467107883	1.737850115
93	0.5495043322	1.732486803
94	0.5539075821	1.723999147
95	0.5568080824	1.718385271
96	0.559677867	1.712812736
97	0.5633931538	1.705571366
98	0.5657952783	1.700873037
99	0.5671558595	1.698206102
100	0.5688550224	1.694869605
101	0.5711512779	1.690350186
102	0.5736737958	1.685371475
103	0.576306882	1.680158798
104	0.5780698411	1.67665964
105	0.5816699782	1.669491231
106	0.5850505264	1.662731922
107	0.5867772896	1.659268684
108	0.5893505215	1.654094294
109	0.5916590684	1.649438333
110	0.5950122867	1.642651934
111	0.5979378966	1.636707964
112	0.5994554306	1.633616268
113	0.6017438752	1.628942886
114	0.6048842662	1.622507779
115	0.6070227915	1.618110989
116	0.6109737722	1.609956221
117	0.6134205445	1.604885342
118	0.6150502752	1.601498854
119	0.6166274456	1.598214752
120	0.6203853946	1.590362337
121	0.6216428064	1.587726244
122	0.6230940966	1.584678244
123	0.625058287	1.58054369
124	0.6279393673	1.574459471
125	0.6311534873	1.567644079
126	0.632296778	1.565212629
127	0.6348752523	1.559715042
128	0.6389016667	1.55109132
129	0.6422399323	1.543904943
130	0.6446091361	1.53878433
131	0.6467487516	1.534145245
132	0.6485029315	1.530331364
133	0.6493321591	1.528525173
134	0.6530151207	1.520477159
135	0.6549656772	1.516197497
136	0.6561178695	1.513663818
137	0.6590595198	1.507175792
138	0.6617867714	1.501135587
139	0.6658270789	1.492142338
140	0.6668027629	1.489962443
141	0.6702926328	1.482139055
142	0.6720614324	1.478158051
143	0.6728171981	1.476453791
144	0.6756195511	1.470117207
145	0.6783372024	1.463945952
146	0.6821320553	1.455284797
147	0.6856711303	1.447160703
148	0.6869082043	1.44431017
149	0.6896271573	1.438025153
150	0.6917625089	1.43306984
151	0.6926571294	1.430988677
152	0.6953151608	1.424787341
153	0.6973928302	1.419921164
154	0.6994309222	1.415131425
155	0.6998363337	1.414176728
156	0.7012536529	1.410834033
157	0.7027040177	1.407405182
158	0.7058692881	1.399892906
159	0.707370094	1.396316852
160	0.709304729	1.391693533
161	0.7109049958	1.387857635
162	0.7136428924	1.381270095
163	0.7148437937	1.378370722
164	0.716287036	1.374878169
165	0.7166677971	1.373955272
166	0.718290864	1.370014272
167	0.7220342491	1.360881373
168	0.7228814658	1.358805863
169	0.7247393219	1.354243355
170	0.7251686878	1.353186733
171	0.7279868804	1.346230889
172	0.7304323298	1.340165792
173	0.7314270566	1.337690846
174	0.7332760667	1.333078178
175	0.7354272817	1.32769144
176	0.7378472004	1.321605617
177	0.7387085395	1.319432672
178	0.7408067672	1.314124327
179	0.7420037214	1.311086503
180	0.7434589231	1.307383749
181	0.7439198349	1.306208773
182	0.7460632191	1.300730819
183	0.7471963475	1.297825484
184	0.7491823038	1.292717752
185	0.751804697	1.28594207
186	0.7536269554	1.281212658
187	0.7562852677	1.274281907
188	0.7588882606	1.267458662
189	0.7608064248	1.262406961
190	0.7632538601	1.255931864
191	0.7661893511	1.248121226
192	0.7679216931	1.243488861
193	0.7696572915	1.238830417
194	0.7724337485	1.231341604
195	0.7737412683	1.227799069
196	0.7760219692	1.221595254
197	0.7778153451	1.216694812
198	0.7781309747	1.215830303
199	0.7800566687	1.210542454
200	0.7817323775	1.205922184
201	0.7826520268	1.203378985
202	0.785005343	1.196846514
203	0.7870963813	1.191012027
204	0.7873163463	1.190396611
205	0.7892009931	1.185110664
206	0.7906278871	1.181092858
207	0.7928762437	1.174734119
208	0.7953053453	1.167825292
209	0.7968180007	1.163502285
210	0.7991390335	1.15683761
211	0.7994887493	1.155830096
212	0.8004468862	1.153065239
213	0.8013346874	1.150497417
214	0.8027761278	1.146316032
215	0.8053100875	1.138928211
216	0.8071408425	1.133560641
217	0.8075332648	1.132406791
218	0.8095582964	1.126433751
219	0.8108623181	1.122570581
220	0.8125106794	1.117668197
221	0.8127615303	1.116920256
222	0.8138889405	1.113552549
223	0.816013414	1.107178659
