iter	Passed	Remaining
0	10	10737
1	17	8532
2	23	7722
3	29	7308
4	35	7121
5	42	7032
6	48	6896
7	54	6794
8	61	6720
9	67	6658
10	73	6607
11	79	6559
12	89	6776
13	104	7333
14	117	7701
15	128	7879
16	134	7776
17	140	7684
18	148	7658
19	154	7568
20	160	7491
21	167	7426
22	173	7359
23	179	7290
24	185	7232
25	191	7177
26	198	7137
27	204	7089
28	210	7046
29	216	7006
30	222	6958
31	228	6925
32	235	6895
33	241	6863
34	247	6827
35	253	6795
36	260	6770
37	266	6742
38	272	6716
39	278	6685
40	284	6660
41	290	6637
42	297	6612
43	303	6590
44	309	6565
45	315	6545
46	321	6526
47	328	6510
48	334	6494
49	340	6477
50	347	6458
51	353	6440
52	359	6422
53	366	6416
54	373	6413
55	379	6402
56	386	6388
57	392	6377
58	398	6362
59	405	6348
60	411	6332
61	417	6320
62	423	6303
63	429	6288
64	436	6276
65	442	6262
66	448	6251
67	455	6239
68	461	6222
69	467	6210
70	473	6195
71	479	6183
72	486	6172
73	492	6159
74	498	6148
75	504	6136
76	510	6124
77	517	6112
78	523	6100
79	529	6093
80	538	6107
81	544	6097
82	550	6086
83	557	6074
84	564	6077
85	572	6080
86	578	6070
87	584	6059
88	590	6047
89	597	6037
90	603	6024
91	609	6011
92	615	6001
93	621	5991
94	627	5980
95	633	5969
96	639	5957
97	646	5948
98	652	5940
99	658	5930
100	665	5920
101	671	5909
102	677	5899
103	683	5888
104	689	5877
105	695	5869
106	702	5859
107	709	5855
108	715	5846
109	721	5838
110	727	5828
111	733	5818
112	740	5809
113	746	5798
114	752	5789
115	758	5782
116	764	5771
117	770	5762
118	777	5757
119	783	5748
120	790	5740
121	796	5730
122	802	5720
123	808	5713
124	815	5706
125	821	5697
126	827	5689
127	833	5681
128	840	5677
129	847	5673
130	854	5668
131	860	5661
132	867	5655
133	874	5649
134	880	5644
135	887	5637
136	893	5629
137	899	5620
138	906	5613
139	912	5605
140	918	5597
141	924	5588
142	931	5580
143	937	5572
144	943	5564
145	949	5556
146	955	5547
147	962	5538
148	968	5530
149	974	5521
150	980	5513
151	987	5506
152	993	5498
153	999	5491
154	1006	5484
155	1012	5476
156	1018	5468
157	1024	5460
158	1030	5452
159	1037	5445
160	1043	5437
161	1049	5430
162	1055	5421
163	1062	5414
164	1069	5411
165	1075	5404
166	1082	5397
167	1088	5390
168	1095	5384
169	1101	5377
170	1111	5386
171	1119	5391
172	1130	5406
173	1141	5420
174	1158	5460
175	1167	5464
176	1173	5456
177	1179	5446
178	1185	5439
179	1192	5431
180	1198	5423
181	1204	5415
182	1211	5407
183	1217	5399
184	1223	5391
185	1230	5383
186	1236	5375
187	1242	5367
188	1248	5359
189	1255	5351
190	1261	5344
191	1268	5337
192	1274	5329
193	1281	5323
194	1287	5315
195	1293	5307
196	1300	5300
197	1306	5292
198	1312	5283
199	1318	5275
200	1325	5267
201	1331	5260
202	1338	5253
203	1344	5245
204	1350	5237
205	1356	5229
206	1363	5223
207	1369	5214
208	1376	5207
209	1382	5201
210	1389	5194
211	1395	5186
212	1401	5179
213	1408	5171
214	1414	5165
215	1420	5157
216	1427	5152
217	1433	5143
218	1440	5135
219	1446	5126
220	1452	5119
221	1458	5110
222	1464	5102
223	1470	5093
224	1476	5085
225	1483	5078
226	1489	5070
227	1495	5063
228	1501	5056
229	1507	5048
230	1514	5040
231	1520	5033
232	1529	5034
233	1535	5026
234	1541	5019
235	1547	5011
236	1554	5003
237	1563	5006
238	1569	4998
239	1576	4991
240	1582	4983
241	1588	4975
242	1594	4968
243	1600	4960
244	1607	4952
245	1613	4945
246	1619	4936
247	1625	4928
248	1631	4921
249	1637	4913
250	1643	4905
251	1649	4897
252	1656	4889
253	1662	4881
254	1668	4874
255	1674	4866
256	1680	4859
257	1687	4852
258	1693	4844
259	1699	4837
260	1705	4830
261	1712	4822
262	1718	4814
263	1724	4806
264	1730	4798
265	1736	4791
266	1742	4783
267	1748	4776
268	1754	4768
269	1760	4761
270	1767	4754
271	1773	4746
272	1779	4738
273	1785	4730
274	1791	4722
275	1797	4715
276	1803	4708
277	1809	4700
278	1816	4694
279	1823	4687
280	1829	4681
281	1836	4675
282	1843	4670
283	1849	4664
284	1856	4657
285	1862	4649
286	1868	4642
287	1874	4635
288	1881	4627
289	1887	4620
290	1893	4613
291	1899	4606
292	1906	4599
293	1912	4592
294	1918	4585
295	1924	4577
296	1930	4570
297	1936	4562
298	1942	4554
299	1948	4547
300	1955	4540
301	1961	4533
302	1967	4526
303	1974	4519
304	1980	4512
305	1986	4504
306	1992	4497
307	1998	4490
308	2004	4483
309	2010	4476
310	2017	4468
311	2023	4461
312	2029	4454
313	2035	4447
314	2041	4440
315	2048	4433
316	2054	4426
317	2060	4419
318	2067	4412
319	2073	4405
320	2079	4399
321	2085	4392
322	2091	4384
323	2098	4377
324	2104	4371
325	2111	4366
326	2118	4359
327	2124	4352
328	2130	4345
329	2136	4338
330	2144	4333
331	2154	4334
332	2164	4335
333	2174	4335
334	2183	4334
335	2197	4342
336	2205	4338
337	2211	4331
338	2217	4324
339	2223	4317
340	2230	4310
341	2236	4302
342	2242	4296
343	2249	4289
344	2255	4282
345	2261	4275
346	2267	4267
347	2274	4260
348	2280	4253
349	2286	4246
350	2293	4240
351	2299	4233
352	2306	4226
353	2312	4219
354	2318	4212
355	2325	4206
356	2331	4199
357	2337	4192
358	2344	4185
359	2350	4178
360	2356	4171
361	2362	4164
362	2369	4158
363	2376	4151
364	2382	4144
365	2388	4137
366	2394	4130
367	2401	4123
368	2407	4116
369	2413	4110
370	2420	4104
371	2427	4097
372	2433	4091
373	2440	4084
374	2446	4077
375	2453	4070
376	2459	4064
377	2465	4057
378	2471	4049
379	2478	4043
380	2484	4036
381	2490	4029
382	2496	4022
383	2503	4015
384	2512	4013
385	2519	4006
386	2525	4000
387	2531	3993
388	2538	3986
389	2544	3979
390	2554	3978
391	2560	3971
392	2566	3963
393	2572	3957
394	2578	3949
395	2585	3943
396	2591	3936
397	2597	3929
398	2603	3922
399	2610	3915
400	2616	3908
401	2623	3901
402	2629	3894
403	2635	3887
404	2641	3880
405	2647	3873
406	2653	3866
407	2660	3859
408	2666	3853
409	2672	3846
410	2678	3839
411	2685	3832
412	2691	3824
413	2697	3818
414	2703	3811
415	2709	3804
416	2715	3797
417	2722	3790
418	2728	3783
419	2735	3777
420	2741	3770
421	2747	3763
422	2753	3756
423	2760	3750
424	2766	3743
425	2772	3736
426	2779	3729
427	2785	3723
428	2792	3716
429	2798	3709
430	2805	3703
431	2811	3697
432	2818	3690
433	2825	3684
434	2832	3678
435	2839	3673
436	2846	3666
437	2852	3659
438	2858	3652
439	2864	3645
440	2870	3639
441	2877	3632
442	2883	3625
443	2889	3618
444	2895	3611
445	2902	3605
446	2908	3598
447	2914	3591
448	2920	3584
449	2926	3577
450	2933	3570
451	2939	3563
452	2945	3557
453	2952	3550
454	2958	3543
455	2964	3536
456	2971	3530
457	2977	3523
458	2983	3516
459	2989	3509
460	2995	3502
461	3002	3496
462	3008	3489
463	3014	3482
464	3020	3475
465	3027	3468
466	3033	3461
467	3039	3454
468	3045	3447
469	3051	3440
470	3057	3434
471	3064	3427
472	3070	3420
473	3076	3413
474	3082	3407
475	3089	3401
476	3096	3394
477	3102	3387
478	3108	3380
479	3114	3373
480	3120	3367
481	3126	3360
482	3132	3353
483	3139	3346
484	3145	3339
485	3151	3333
486	3157	3326
487	3170	3326
488	3179	3322
489	3191	3321
490	3201	3319
491	3219	3324
492	3231	3322
493	3237	3316
494	3243	3309
495	3249	3302
496	3255	3294
497	3262	3288
498	3268	3281
499	3274	3274
500	3280	3267
501	3287	3260
502	3293	3254
503	3299	3247
504	3306	3240
505	3312	3233
506	3318	3227
507	3325	3220
508	3331	3213
509	3337	3207
510	3344	3200
511	3350	3193
512	3356	3186
513	3362	3179
514	3369	3172
515	3375	3166
516	3382	3159
517	3388	3153
518	3395	3146
519	3401	3139
520	3407	3133
521	3413	3126
522	3420	3119
523	3426	3112
524	3432	3105
525	3438	3098
526	3445	3092
527	3451	3085
528	3457	3078
529	3464	3071
530	3470	3065
531	3476	3058
532	3483	3052
533	3489	3045
534	3498	3040
535	3505	3034
536	3511	3027
537	3517	3020
538	3523	3013
539	3529	3006
540	3535	2999
541	3545	2995
542	3551	2988
543	3557	2981
544	3563	2975
545	3570	2968
546	3576	2961
547	3582	2954
548	3588	2948
549	3594	2941
550	3601	2934
551	3607	2927
552	3613	2921
553	3619	2914
554	3626	2907
555	3632	2900
556	3638	2893
557	3645	2887
558	3651	2880
559	3657	2873
560	3664	2867
561	3670	2860
562	3676	2853
563	3682	2846
564	3688	2840
565	3695	2833
566	3701	2826
567	3707	2820
568	3713	2813
569	3720	2806
570	3726	2799
571	3732	2792
572	3738	2786
573	3745	2779
574	3751	2772
575	3757	2766
576	3763	2759
577	3769	2752
578	3775	2745
579	3782	2738
580	3789	2732
581	3795	2726
582	3802	2719
583	3809	2713
584	3816	2707
585	3823	2700
586	3829	2694
587	3835	2687
588	3841	2680
589	3847	2673
590	3853	2666
591	3859	2659
592	3865	2653
593	3871	2646
594	3877	2639
595	3884	2632
596	3890	2626
597	3896	2619
598	3902	2612
599	3908	2605
600	3914	2598
601	3920	2592
602	3926	2585
603	3933	2578
604	3939	2571
605	3945	2565
606	3951	2558
607	3957	2551
608	3963	2544
609	3970	2538
610	3976	2531
611	3982	2525
612	3989	2518
613	3995	2511
614	4002	2505
615	4008	2498
616	4014	2492
617	4020	2485
618	4027	2478
619	4033	2471
620	4039	2465
621	4045	2458
622	4051	2451
623	4058	2445
624	4064	2438
625	4071	2432
626	4077	2425
627	4083	2418
628	4089	2412
629	4095	2405
630	4101	2398
631	4108	2392
632	4114	2385
633	4120	2378
634	4126	2372
635	4133	2365
636	4139	2358
637	4145	2352
638	4151	2345
639	4158	2339
640	4165	2332
641	4171	2326
642	4177	2319
643	4184	2313
644	4190	2306
645	4196	2299
646	4202	2293
647	4211	2287
648	4219	2282
649	4227	2276
650	4235	2270
651	4244	2265
652	4252	2259
653	4261	2254
654	4271	2249
655	4280	2244
656	4287	2238
657	4293	2231
658	4299	2225
659	4306	2218
660	4313	2212
661	4319	2205
662	4325	2198
663	4332	2192
664	4338	2185
665	4344	2178
666	4350	2172
667	4356	2165
668	4363	2158
669	4369	2152
670	4375	2145
671	4381	2138
672	4387	2131
673	4393	2125
674	4400	2118
675	4406	2111
676	4412	2105
677	4418	2098
678	4424	2091
679	4431	2085
680	4437	2078
681	4443	2071
682	4449	2065
683	4455	2058
684	4461	2051
685	4468	2045
686	4474	2038
687	4483	2033
688	4489	2026
689	4495	2019
690	4502	2013
691	4508	2006
692	4515	2000
693	4522	1994
694	4530	1988
695	4538	1982
696	4545	1975
697	4551	1969
698	4558	1962
699	4564	1956
700	4570	1949
701	4576	1942
702	4583	1936
703	4589	1929
704	4596	1923
705	4602	1916
706	4608	1909
707	4614	1903
708	4620	1896
709	4627	1890
