市区町村コード,市区町村名,都道府県名,2018_15〜64歳人口,2018_15歳未満人口,2018_65歳以上人口,2018_出生数,2018_出生率[‰],2018_年少人口率[%],2018_死亡数,2018_死亡率[‰],2018_生産年齢人口率[%],2018_総人口,2018_転入率[‰],2018_転入者数,2018_転入超過率[‰],2018_転出率[‰],2018_転出者数,2018_高齢化率[%],スーパー件数,スーパー密度[件/km²],2018年総人口あたりのスーパー密度,2023年総人口あたりのスーパー密度,住宅地価_log中央値_2018,住宅地価_log中央値_2023,住宅地価_log差分,住宅地価_中央値_2018,住宅地価_中央値_2023,住宅地価_増減率[%],学校件数,学校密度[件/km²],2018年総人口あたりの学校密度,2023年総人口あたりの学校密度,平均気温,年最深積雪,年降水量,最低気温,最高気温,centroid_lat,centroid_lon,centroid_lat_std,centroid_lon_std,標準地点数_2018,標準地点数_2023,病院件数,病院密度[件/km²],2018年総人口あたりの病院密度,2023年総人口あたりの病院密度,空き家_2018,空き家_2023,空き家_増加率_5年_%,空き家率_2018,空き家率_2023,空き家率_差分_5年_pt,住宅総数_2018,住宅総数_2023,過疎地域市町村,都市種別,都道府県コード,駅件数,駅密度[件/km²],2018年総人口あたりの駅密度,2023年総人口あたりの駅密度,住民基本台帳登載人口_2018,住民基本台帳登載人口_2023,地方税_2018,地方税_2023,地方税_変化量,地方税_変化率,地方税_ログ差分,地方交付税_2018,地方交付税_2023,地方交付税_変化量,地方交付税_変化率,地方交付税_ログ差分,民生費_2018,民生費_2023,民生費_変化量,民生費_変化率,民生費_ログ差分,教育費_2018,教育費_2023,教育費_変化量,教育費_変化率,教育費_ログ差分,土木費_2018,土木費_2023,土木費_変化量,土木費_変化率,土木費_ログ差分,人件費_2018,人件費_2023,人件費_変化量,人件費_変化率,人件費_ログ差分,公債費_2018,公債費_2023,公債費_変化量,公債費_変化率,公債費_ログ差分,扶助費_2018,扶助費_2023,扶助費_変化量,扶助費_変化率,扶助費_ログ差分,地方債現在高_2018,地方債現在高_2023,地方債現在高_変化量,地方債現在高_変化率,地方債現在高_ログ差分,住宅総数_2023_raw,空き家_2023_raw,空き家率_2023_raw,2023_総人口,2023_15歳未満人口,2023_15〜64歳人口,2023_65歳以上人口,2023_出生数,2023_死亡数,2023_転入者数,2023_転出者数,2023_高齢化率[%],2023_年少人口率[%],2023_生産年齢人口率[%],2023_出生率[‰],2023_死亡率[‰],2023_転入率[‰],2023_転出率[‰],2023_転入超過率[‰]
2201,青森市,青森県,170236,32574,84764,1752.0,6.092344926870997,11.327171441089943,3664.0,12.74106838587633,59.19728487276319,287574,25.642095599741285,7374.0,-3.877262895811164,29.51935849555245,8489.0,29.47554368614687,69.0,0.071519,0.0002399382419829331,0.0002508187961424796,10.526748605631909,10.529425983402623,0.0026773777707163,37300.0,37400.0,0.2680965147453085,103.0,0.10676,0.0003581686800614798,0.00037441066670544057,17.72,168.0,1425.0,8.43,27.0,40.78777652979047,140.7535795876311,2.4877882151715,1.0796487520805997,48.0,47.0,113.0,0.117125,0.00039294233831987593,0.00041076121687101734,19700.0,20260.0,2.8426395939086295,14.5829,15.09,0.5070999999999994,135090.0,134280.0,,中核市,2.0,34.0,0.035241,0.00011823043807854674,0.00012359187056296098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275099,28961,158201,87937,1278.0,4225.0,6468.0,7657.0,31.965583299103233,10.527482833452684,57.50693386744409,4.64560031116071,15.35810744495618,23.511535847095047,27.83361626178212,-4.322080414687072
2202,弘前市,青森県,101677,18977,53396,1110.0,6.377477736282677,10.903188738868142,2317.0,13.312266590060329,58.41827061189313,174050,25.113473139902325,4371.0,-6.1648951450732525,31.278368284975578,5444.0,30.678540649238723,29.0,0.055376,0.00016661878770468256,0.00017429455780268655,10.275051108968611,10.281923988256374,0.0068728792877621,29000.0,29200.0,0.6896551724137945,56.0,0.106933,0.00032174662453318014,0.00033656880127415334,18.49,131.0,1495.7,8.72,28.26,40.60511989519804,140.38461815356422,2.3730231395230423,0.8591237231170437,30.0,31.0,47.0,0.089747,0.0002700373455903476,0.0002824773867836644,11650.0,12690.0,8.927038626609441,14.1178,15.78,1.6621999999999986,82520.0,80440.0,C,,2.0,24.0,0.045828,0.00013789141051422004,0.00014424377197463714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166385,17437,94436,54512,826.0,2741.0,4141.0,4801.0,32.76256874117258,10.479911049673948,56.75752020915347,4.964389818793761,16.473840790936684,24.88806082279052,28.854764552093037,-3.966703729302516
2203,八戸市,青森県,137564,27841,66956,1600.0,6.885837124130125,11.981786960806676,2801.0,12.0545186154303,59.20270613398978,232361,25.968213254375733,6034.0,-5.835746962700284,31.803960217076018,7390.0,28.81550690520354,52.0,0.067404,0.00022378970653422905,0.0002327309183024965,10.46024210819052,10.41030515490458,-0.0499369532859397,34900.0,33200.0,-4.871060171919773,118.0,0.152956,0.0005078304879045967,0.0005281201607633575,18.44,28.0,1076.2,9.66,27.22,40.5486916210477,141.594533362279,2.337568664157146,1.582279483610198,34.0,33.0,98.0,0.127031,0.00042175752385297015,0.0004386082691085511,16970.0,20280.0,19.50500883912787,15.3658,17.94,2.574200000000001,110440.0,113020.0,,中核市,2.0,28.0,0.036295,0.0001205021496722772,0.00012531664831672888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223434,25204,128076,70154,1149.0,3348.0,5722.0,6886.0,31.398086235756423,11.280288586338695,57.32162517790489,5.142458175568625,14.984290663014582,25.609352202440093,30.818944296749823,-5.2095920943097305
2204,黒石市,青森県,19944,3550,10551,205.0,6.02144220884124,10.427375532383609,492.0,14.451461301218975,58.58128946981935,34045,18.769275958290496,639.0,-7.548832427669264,26.31810838595976,896.0,30.991334997797033,5.0,0.023036,0.000146864444118079,0.0001563721657544957,9.445412494155669,9.413281215972871,-0.0321312781827938,12650.0,12250.0,-3.1620553359683834,9.0,0.041465,0.0002643559994125422,0.00028146989835809225,17.2,187.0,1369.6,7.35,27.05,40.61709100866574,140.70465471890864,2.3805447154339454,1.0504067850459062,2.0,2.0,1.0,0.004607,2.93728888236158e-05,3.127443315089914e-05,1800.0,1630.0,-9.444444444444445,13.3432,12.57,-0.7731999999999992,13490.0,12970.0,,,2.0,2.0,0.009214,5.87457776472316e-05,6.254886630179828e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31975,3127,17909,10939,141.0,554.0,696.0,865.0,34.211102423768565,9.77951524628616,56.00938232994527,4.4096950742767795,17.326035965598123,21.7670054730258,27.05238467552776,-5.285379202501961
2205,五所川原市,青森県,31905,5621,18215,282.0,5.0591126818679255,10.084139143538868,828.0,14.854415959527095,57.23793975709083,55741,24.470318078254785,1364.0,-7.947471340664862,32.41778941891965,1807.0,32.6779210993703,18.0,0.036474,0.00032292208607667607,0.00034330180042722,9.803667217253915,9.820105943597078,0.0164387263431606,18100.0,18400.0,1.6574585635359185,16.0,0.032421,0.0002870418542903787,0.0003051571559353067,18.46,87.0,1398.5,9.52,27.4,40.938957138003744,140.43273329169318,2.582776573940346,0.8878817212430808,3.0,3.0,19.0,0.0385,0.0003408622019698247,0.0003623741226731767,4020.0,4330.0,7.711442786069651,17.3575,17.76,0.4024999999999998,23160.0,24380.0,A,,2.0,16.0,0.032421,0.0002870418542903787,0.0003051571559353067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52432,4848,28792,18792,197.0,972.0,1227.0,1487.0,35.84070796460177,9.246261824839792,54.91303021055843,3.7572474824534634,18.53829722306988,23.40173939578883,28.360543179737565,-4.958803783948735
2206,十和田市,青森県,35623,7086,19587,382.0,6.132014896622576,11.374727109284704,826.0,13.25927828432002,57.183446770258115,62296,27.48170026968024,1712.0,-2.006549377167069,29.488249646847308,1837.0,31.441826120457172,23.0,0.031696,0.0003692050853987415,0.0003854791673649985,9.686574550972557,9.686574550972557,0.0,16100.0,16100.0,0.0,26.0,0.03583,0.00041736227045075126,0.00043575905876043307,17.18,133.0,1524.7,7.61,26.74,40.56682363242579,141.05699147742178,2.348961196720268,1.2609953905258784,3.0,3.0,21.0,0.02894,0.00033710029536406834,0.0003519592397680421,4830.0,5550.0,14.906832298136646,15.7895,18.25,2.4604999999999997,30590.0,30410.0,C,,2.0,2.0,0.002756,3.2104790034673176e-05,3.351992759695639e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59666,6352,32819,20495,280.0,946.0,1597.0,1651.0,34.34954580498106,10.64592900479335,55.004525190225586,4.6927898635738945,15.854925753360371,26.76566218616968,27.670700231287498,-0.9050380451178164
2207,三沢市,青森県,24763,5549,9915,340.0,8.452034703060134,13.794217813906082,440.0,10.937927262783704,61.558157456434735,40227,53.54612573644567,2154.0,-1.7152658662092648,55.26139160265493,2223.0,24.647624729659185,12.0,0.01959,0.00029830710716682824,0.0003097253768325418,10.338511462885837,10.338511462885837,0.0,30900.0,30900.0,0.0,13.0,0.021222,0.0003231660327640639,0.0003355358249019203,17.93,43.0,1144.0,10.36,25.5,40.77467371799084,141.50666445772305,2.479555581351503,1.5297610062489921,2.0,2.0,13.0,0.021222,0.0003231660327640639,0.0003355358249019203,3240.0,3760.0,16.049382716049383,16.7269,18.12,1.3931000000000004,19370.0,20750.0,,,2.0,1.0,0.001632,2.485892559723569e-05,2.5810448069378484e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38744,4945,23375,10424,243.0,559.0,1836.0,1850.0,26.904811067520136,12.76326657030766,60.33192236217221,6.271938880858972,14.428040470782571,47.3879826553789,47.749328928350195,-0.3613462729712964
2208,むつ市,青森県,34041,6608,18255,349.0,5.924894743990221,11.218253429308705,816.0,13.853049028928426,57.79064240119517,58904,35.396577482004616,2085.0,-7.435827787586582,42.8324052695912,2523.0,30.991104169496133,13.0,0.008085,0.00022069808501969305,0.00023650553968744884,9.525151111816216,9.506734385029985,-0.0184167267862314,13700.0,13450.0,-1.8248175182481785,16.0,0.009951,0.00027162841233192993,0.0002910837411537832,16.66,97.0,1592.1,8.67,24.64,41.25991244310914,141.03676220918865,2.784436152046467,1.248904533457569,4.0,4.0,4.0,0.002488,6.790710308298248e-05,7.27709352884458e-05,5430.0,5990.0,10.313075506445673,18.615,20.76,2.145000000000003,29170.0,28850.0,C,,2.0,7.0,0.004354,0.00011883743039521934,0.00012734913675478015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54967,5599,30659,18709,226.0,962.0,1718.0,2138.0,34.03678570778831,10.1861116670002,55.7771026252115,4.111557843797187,17.501409936871216,31.25511670638747,38.89606491167428,-7.640948205286811
2209,つがる市,青森県,18118,3303,11833,149.0,4.480663980273049,9.932639682444218,571.0,17.170866662657122,54.483671137306786,33254,19.96752270403561,664.0,-5.924099356468393,25.891622060504,861.0,35.583689180248996,7.0,0.012168,0.00021050099236182113,0.0002274425707508854,9.071078304642676,9.047821442478408,-0.023256862164267,8700.0,8500.0,-2.298850574712641,9.0,0.015644,0.0002706441330366272,0.00029242616239399553,19.03,62.0,1373.2,10.41,27.66,40.904921300526176,140.26477877382283,2.5613915009503203,0.7874967717656589,5.0,5.0,0.0,0.0,0.0,0.0,1710.0,2180.0,27.485380116959064,13.3698,17.43,4.0602,12790.0,12510.0,A,,2.0,5.0,0.008691,0.0001503578516870151,0.00016245897910777528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30777,2827,15988,11962,107.0,616.0,569.0,776.0,38.866686161744155,9.185430678753615,51.947883159502226,3.476622152906391,20.01494622607791,18.487831822464827,25.213633557526727,-6.7258017350619
2210,平川市,青森県,17866,3496,10286,160.0,5.046045162104201,11.02560867919768,455.0,14.34969092973382,56.34540179134603,31708,22.39182540683739,710.0,1.923804718052228,20.468020688785163,649.0,32.43976283587738,4.0,0.011563,0.00012615112905260502,0.0001311260449106704,9.341368634382588,9.314700387300425,-0.0266682470821617,11400.0,11100.0,-2.631578947368418,12.0,0.034689,0.0003784533871578151,0.00039337813473201114,17.14,153.0,1620.1,7.22,27.07,40.51831836167627,140.70050596025763,2.3184848273327656,1.0479271082092436,5.0,5.0,0.0,0.0,0.0,0.0,1400.0,1610.0,15.0,12.0482,13.39,1.341800000000001,11620.0,12020.0,C,,2.0,8.0,0.023126,0.00025230225810521004,0.0002622520898213408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30505,3300,16564,10548,153.0,515.0,563.0,634.0,34.57793804294378,10.817898705130306,54.2992951975086,5.015571217833142,16.88247828224881,18.455990821176854,20.783478118341257,-2.327487297164403
